 Ti  -0.0191714  -0.0073591  -0.0548196 
 Se   0.0447195   0.5877064   0.3775102 
 Se   0.5660086   0.3003423  -0.4697456 
 Ti  -0.4721999   0.8938740  -0.0374341 
 Se  -0.4910254   1.4285224   0.3946094 
 Se   0.0307023   1.1653030  -0.4630174 
 Ti  -1.0476047   1.7440675  -0.0556820 
 Se  -1.0521241   2.2624330   0.4218594 
 Se  -0.4999400   1.9971361  -0.4452154 
 Ti  -1.5227958   2.6026431  -0.0503516 
 Se  -1.5071932   3.1675894   0.4225687 
 Se  -0.9672640   2.8795270  -0.4264258 
 Ti   1.0310828  -0.0097147   0.0341458 
 Se   1.0190362   0.5416062   0.4808560 
 Se   1.5379794   0.2914297  -0.3845580 
 Ti   0.5262751   0.8434583   0.0056934 
 Se   0.5029618   1.4648194   0.4422656 
 Se   1.0276345   1.1725730  -0.4133816 
 Ti   0.0222032   1.7625538   0.0132600 
 Se   0.0090437   2.2924368   0.4588804 
 Se   0.4984943   2.0406663  -0.4065672 
 Ti  -0.5219668   2.5701410   0.0578985 
 Se  -0.5154968   3.1432958   0.5180527 
 Se  -0.0358547   2.8707486  -0.3920857 
 Ti   1.9782545  -0.0229505   0.0699295 
 Se   2.0445593   0.6142597   0.4726762 
 Se   2.4722557   0.2496134  -0.4255497 
 Ti   1.5213753   0.9059988   0.0517472 
 Se   1.5659971   1.4739504   0.4810642 
 Se   2.0011224   1.1664455  -0.4434958 
 Ti   0.9678643   1.7471987   0.0211013 
 Se   0.9917505   2.3463516   0.4632612 
 Se   1.4804747   2.0186370  -0.4198411 
 Ti   0.4822481   2.6406756   0.0162807 
 Se   0.5184446   3.1630407   0.4889466 
 Se   0.9924372   2.9153827  -0.4317716 
 Ti   3.0047022   0.0351303  -0.0148704 
 Se   3.0363156   0.6029509   0.4040569 
 Se   3.4825304   0.2549359  -0.4893347 
 Ti   2.4836459   0.8691481  -0.0193203 
 Se   2.4985538   1.4517233   0.4073606 
 Se   2.9501911   1.1487403  -0.4697020 
 Ti   1.9819342   1.7337602  -0.0636544 
 Se   1.9681772   2.2827980   0.3812094 
 Se   2.4319024   2.0395859  -0.4796186 
 Ti   1.4753896   2.6194890   0.0061529 
 Se   1.4767538   3.1360463   0.4457901 
 Se   1.9867866   2.8680339  -0.4885795 
